"date","user","type","executed","runTime","remarks"
"2016-06-30 23:34","PONG-PC","function","MultiFileBind",9.05801701545715,"Merged Year2013-2016"
"2016-06-30 23:34","PONG-PC","function","LoadAirHour",9.06102895736694,"Loaded2013-2016"
"2016-06-30 23:34","PONG-PC","function","LoadAQHI",0.947632074356079,"Loaded2013-2016"
"2016-06-30 23:34","PONG-PC","source","default.R",27.0560300350189,NA
"2016-06-30 23:39","PONG-PC","function","MultiFileBind",9.95585989952087,"Merged Year2013-2016"
"2016-06-30 23:39","PONG-PC","function","LoadAirHour",9.95985293388367,"Loaded2013-2016"
"2016-06-30 23:39","PONG-PC","function","LoadAQHI",1.04370403289795,"Loaded2013-2016"
"2016-06-30 23:39","PONG-PC","source","default.R",29.2557291984558,NA
"2016-06-30 23:39","PONG-PC","function","MultiFileBind",13.7411730289459,"Merged Year2013-2016"
"2016-06-30 23:39","PONG-PC","function","LoadAirHour",13.7481780052185,"Loaded2013-2016"
"2016-06-30 23:39","PONG-PC","function","LoadAQHI",1.89426493644714,"Loaded2013-2016"
"2016-06-30 23:40","PONG-PC","source","default.R",41.4346580505371,NA
"2016-06-30 23:40","PONG-PC","function","MultiFileBind",12.0490429401398,"Merged Year2013-2016"
"2016-06-30 23:40","PONG-PC","function","LoadAirHour",12.056046962738,"Loaded2013-2016"
"2016-06-30 23:40","PONG-PC","function","LoadAQHI",1.25785207748413,"Loaded2013-2016"
"2016-06-30 23:40","PONG-PC","source","default.R",35.7263660430908,NA
"2016-06-30 23:41","PONG-PC","function","MultiFileBind",13.4409821033478,"Merged Year2013-2016"
"2016-06-30 23:41","PONG-PC","function","LoadAirHour",13.4469859600067,"Loaded2013-2016"
"2016-06-30 23:41","PONG-PC","function","LoadAQHI",1.22580909729004,"Loaded2013-2016"
"2016-06-30 23:41","PONG-PC","source","default.R",37.3159070014954,NA
"2016-06-30 23:45","PONG-PC","function","MultiFileBind",12.0490539073944,"Merged Year2013-2016"
"2016-06-30 23:45","PONG-PC","function","LoadAirHour",12.0560579299927,"Loaded2013-2016"
"2016-06-30 23:45","PONG-PC","function","LoadAQHI",1.25982999801636,"Loaded2013-2016"
"2016-06-30 23:45","PONG-PC","source","default.R",43.3551030158997,NA
"2016-06-30 23:56","PONG-PC","function","MultiFileBind",14.5617179870605,"Merged Year2013-2016"
"2016-06-30 23:56","PONG-PC","function","LoadAirHour",14.5687131881714,"Loaded2013-2016"
"2016-06-30 23:56","PONG-PC","function","LoadAQHI",1.1337571144104,"Loaded2013-2016"
"2016-06-30 23:57","PONG-PC","source","default.R",41.2066512107849,NA
"2016-07-01 00:08","PONG-PC","function","MultiFileBind",14.2215349674225,"Merged Year2013-2016"
"2016-07-01 00:08","PONG-PC","function","LoadAirHour",14.2215349674225,"Loaded2013-2016"
"2016-07-01 00:08","PONG-PC","function","LoadAQHI",1.07663202285767,"Loaded2013-2016"
"2016-07-01 00:08","PONG-PC","source","default.R",39.9643929004669,NA
"2016-07-01 00:09","PONG-PC","function","MultiFileBind",9.6303379535675,"Merged Year2013-2016"
"2016-07-01 00:09","PONG-PC","function","LoadAirHour",9.64594602584839,"Loaded2013-2016"
"2016-07-01 00:09","PONG-PC","function","LoadAQHI",0.973599195480347,"Loaded2013-2016"
"2016-07-01 00:09","PONG-PC","source","default.R",28.6706299781799,NA
"2016-07-01 00:09","PONG-PC","function","MultiFileBind",9.43667578697205,"Merged Year2013-2016"
"2016-07-01 00:09","PONG-PC","function","LoadAirHour",9.45228791236877,"Loaded2013-2016"
"2016-07-01 00:09","PONG-PC","function","LoadAQHI",1.17272710800171,"Loaded2013-2016"
"2016-07-01 00:10","PONG-PC","source","default.R",29.2884919643402,NA
"2016-07-01 00:10","PONG-PC","function","MultiFileBind",9.08984398841858,"Merged Year2013-2016"
"2016-07-01 00:10","PONG-PC","function","LoadAirHour",9.10546803474426,"Loaded2013-2016"
"2016-07-01 00:10","PONG-PC","function","LoadAQHI",1.02369785308838,"Loaded2013-2016"
"2016-07-01 00:10","PONG-PC","source","default.R",27.1973571777344,NA
"2016-07-01 00:11","PONG-PC","function","MultiFileBind",8.98162817955017,"Merged Year2013-2016"
"2016-07-01 00:11","PONG-PC","function","LoadAirHour",8.98162817955017,"Loaded2013-2016"
"2016-07-01 00:11","PONG-PC","function","LoadAQHI",0.976850032806396,"Loaded2013-2016"
"2016-07-01 00:11","PONG-PC","source","default.R",27.5637300014496,NA
"2016-07-01 00:11","PONG-PC","function","MultiFileBind",10.1637048721313,"Merged Year2013-2016"
"2016-07-01 00:11","PONG-PC","function","LoadAirHour",10.1793308258057,"Loaded2013-2016"
"2016-07-01 00:11","PONG-PC","function","LoadAQHI",0.914338111877441,"Loaded2013-2016"
"2016-07-01 00:11","PONG-PC","source","default.R",29.1554069519043,NA
"2016-07-01 00:12","PONG-PC","function","MultiFileBind",10.5975391864777,"Merged Year2013-2016"
"2016-07-01 00:12","PONG-PC","function","LoadAirHour",10.5975391864777,"Loaded2013-2016"
"2016-07-01 00:12","PONG-PC","function","LoadAQHI",0.930985927581787,"Loaded2013-2016"
"2016-07-01 00:12","PONG-PC","source","default.R",29.1927561759949,NA
"2016-07-01 00:12","PONG-PC","function","MultiFileBind",9.88699507713318,"Merged Year2013-2016"
"2016-07-01 00:12","PONG-PC","function","LoadAirHour",9.90262794494629,"Loaded2013-2016"
"2016-07-01 00:12","PONG-PC","function","LoadAQHI",1.14652895927429,"Loaded2013-2016"
"2016-07-01 00:12","PONG-PC","source","default.R",28.5123980045319,NA
"2016-07-04 10:11","POAS31-RT33","function","MultiFileBind",11.7608289718628,"Merged Year2013-2016"
"2016-07-04 10:11","POAS31-RT33","function","LoadAirHour",11.7964291572571,"Loaded2013-2016"
"2016-07-04 10:11","POAS31-RT33","function","LoadAQHI",1.4490180015564,"Loaded2013-2016"
"2016-07-04 10:12","POAS31-RT33","source","default.R",30.8955528736115,NA
"2016-07-04 10:25","POAS31-RT33","function","MultiFileBind",10.9992198944092,"Merged Year2013-2016"
"2016-07-04 10:25","POAS31-RT33","function","LoadAirHour",10.9992198944092,"Loaded2013-2016"
"2016-07-04 10:25","POAS31-RT33","function","LoadAQHI",0.952601909637451,"Loaded2013-2016"
"2016-07-04 10:25","POAS31-RT33","source","default.R",28.7652671337128,NA
"2016-07-04 10:26","POAS31-RT33","function","MultiFileBind",11.5542778968811,"Merged Year2013-2016"
"2016-07-04 10:26","POAS31-RT33","function","LoadAirHour",11.5542778968811,"Loaded2013-2016"
"2016-07-04 10:26","POAS31-RT33","function","LoadAQHI",0.988003969192505,"Loaded2013-2016"
"2016-07-04 10:27","POAS31-RT33","source","default.R",30.4599928855896,NA
"2016-07-04 12:11","POAS31-RT33","function","MultiFileBind",15.6266579627991,"Merged Year2011-2016"
"2016-07-04 12:11","POAS31-RT33","function","LoadAirHour",15.7036590576172,"Loaded2011-2016"
