type,site,year,day,1,2,3,4,5,6,7,8,9,10,11,12
ws,tun,2014,1,4.4,5.7,7,5.3,4.9,8.6,8.9,8,9.7,9.1,5.6,15.8
ws,tun,2014,2,4,4.6,4.8,7.6,6,9.5,11.5,7.2,5.8,5.9,8.7,12.5
ws,tun,2014,3,4.5,5.1,10.6,6.5,9.3,8,8,6,6.3,6.7,11.1,5.9
ws,tun,2014,4,7.3,10.8,5.1,10.5,8.3,7.1,8.7,6.7,5.4,7.3,7.4,14.6
ws,tun,2014,5,8.8,7.5,7.7,8.7,10.3,7.5,10.2,7.3,9.3,6.4,10.7,9.7
ws,tun,2014,6,8.1,6,9.2,7.3,4.5,6.2,8.2,6.4,6.8,8.5,4.8,9.1
ws,tun,2014,7,6.7,5.7,7,5.8,5.1,7.1,4,6,8.3,7.3,8.4,6.9
ws,tun,2014,8,7.3,8.1,8.6,3.4,8.2,6.8,4.8,7.3,11,7.8,9.5,8.5
ws,tun,2014,9,10.5,10.4,9.7,6.4,9.5,10.2,9,8.5,10.4,5.7,8.8,5.3
ws,tun,2014,10,5.8,15.9,6.1,7.8,15,9.5,7.8,9.4,7.6,7,6.1,3.2
ws,tun,2014,11,6.2,12.7,10.8,8.3,9.7,7.4,6.7,8,7.4,7.8,4.1,10
ws,tun,2014,12,7.3,11.8,6.1,9.1,6.8,6.1,7.8,9,6.2,8.1,12.8,13.8
ws,tun,2014,13,11.7,11.8,8.5,5.3,9.2,6.8,8.1,6,10.2,9.5,13,10.8
ws,tun,2014,14,11.7,9.6,7.8,10.6,10.6,6.2,7.7,7.8,4.7,10,8.4,7.5
ws,tun,2014,15,11.3,7.3,4.2,12.3,9.3,6,10.1,6.5,9.2,9.9,5.9,6
ws,tun,2014,16,7.2,6.8,4.3,10.1,8.7,9.1,9.2,7.1,22.3,8.9,6.7,14
ws,tun,2014,17,4,5.2,4,9.1,9.6,8,7.6,7.2,16.5,7.6,13.7,15.2
ws,tun,2014,18,8.8,6.8,7,9,7.9,9.4,14.9,7.7,6.2,8.5,10.8,10.5
ws,tun,2014,19,5.7,11.2,6.1,8.8,8.5,10.9,15.5,9,6.4,7.4,7.1,7.5
ws,tun,2014,20,7,8.1,7.4,4.8,7.8,9.6,10,6.4,9.9,7.5,6.8,8.1
ws,tun,2014,21,11.7,6.6,10.6,11.2,11.3,10.1,4,8.5,7.1,4.1,5,9.1
ws,tun,2014,22,8.3,4.2,8.3,4.6,11.2,5.6,6.6,7,7.6,9.4,7.4,11.2
ws,tun,2014,23,6.3,8.8,8.6,12.5,7.4,6.8,9.4,8.5,8.2,6.3,8.4,10.5
ws,tun,2014,24,7.1,6.8,9,13.9,10.5,6.1,12.7,10.1,5.3,5.8,6.5,6
ws,tun,2014,25,4.1,6.2,7.1,11.2,8.3,7,8.2,7.6,7.3,6.3,3.4,3.8
ws,tun,2014,26,7.5,3.6,6,9.7,6.7,8.4,6.3,8.7,8.8,4.1,9.1,2.9
