"year","day","type","site","variable","value"
2014,1,"ws","tun","X1",4.4
2014,2,"ws","tun","X1",4
2014,3,"ws","tun","X1",4.5
2014,4,"ws","tun","X1",7.3
2014,5,"ws","tun","X1",8.8
2014,6,"ws","tun","X1",8.1
2014,7,"ws","tun","X1",6.7
2014,8,"ws","tun","X1",7.3
2014,9,"ws","tun","X1",10.5
2014,10,"ws","tun","X1",5.8
2014,11,"ws","tun","X1",6.2
2014,12,"ws","tun","X1",7.3
2014,13,"ws","tun","X1",11.7
2014,14,"ws","tun","X1",11.7
2014,15,"ws","tun","X1",11.3
2014,16,"ws","tun","X1",7.2
2014,17,"ws","tun","X1",4
2014,18,"ws","tun","X1",8.8
2014,19,"ws","tun","X1",5.7
2014,20,"ws","tun","X1",7
2014,21,"ws","tun","X1",11.7
2014,22,"ws","tun","X1",8.3
2014,23,"ws","tun","X1",6.3
2014,24,"ws","tun","X1",7.1
2014,25,"ws","tun","X1",4.1
2014,26,"ws","tun","X1",7.5
2014,27,"ws","tun","X1",12.1
2014,28,"ws","tun","X1",5.2
2014,29,"ws","tun","X1",5.5
2014,30,"ws","tun","X1",3.4
2014,31,"ws","tun","X1",5.9
2015,1,"ws","tun","X1",6
2015,2,"ws","tun","X1",6.1
2015,3,"ws","tun","X1",5.7
2015,4,"ws","tun","X1",6
2015,5,"ws","tun","X1",7.2
2015,6,"ws","tun","X1",3.8
2015,7,"ws","tun","X1",8.7
2015,8,"ws","tun","X1",9.7
2015,9,"ws","tun","X1",6
2015,10,"ws","tun","X1",4.9
2015,11,"ws","tun","X1",6.2
2015,12,"ws","tun","X1",9.8
2015,13,"ws","tun","X1",6.9
2015,14,"ws","tun","X1",8.8
2015,15,"ws","tun","X1",9
2015,16,"ws","tun","X1",4.9
2015,17,"ws","tun","X1",8.5
2015,18,"ws","tun","X1",5.3
2015,19,"ws","tun","X1",9.3
2015,20,"ws","tun","X1",5
2015,21,"ws","tun","X1",3.5
2015,22,"ws","tun","X1",9
2015,23,"ws","tun","X1",8.1
2015,24,"ws","tun","X1",7.5
2015,25,"ws","tun","X1",5.1
2015,26,"ws","tun","X1",4.9
2015,27,"ws","tun","X1",7.9
2015,28,"ws","tun","X1",16.3
2015,29,"ws","tun","X1",4.9
2015,30,"ws","tun","X1",5.1
2015,31,"ws","tun","X1",6.6
2016,1,"ws","tun","X1",4.8
