"date","no2Max","no2Avg"
2015-01-01,60,36.4
2015-01-02,80,8.4375
2015-01-03,63,0.375
2015-01-04,49,16.1
2015-01-05,56,3.66666666666667
2015-01-06,60,4.04347826086957
2015-01-07,37,-3
2015-01-08,32,-7.08695652173913
2015-01-09,46,-0.695652173913043
2015-01-10,87,27.625
2015-01-11,89,37.4545454545455
2015-01-12,66,2.73913043478261
2015-01-13,86,19.0833333333333
2015-01-14,84,1.81818181818182
2015-01-15,33,-1.83333333333333
2015-01-16,105,30.9583333333333
2015-01-17,89,29.8333333333333
2015-01-18,77,35.4166666666667
2015-01-19,63,14.9583333333333
2015-01-20,81,15.5
2015-01-21,132,35.0416666666667
2015-01-22,54,11.6521739130435
2015-01-23,45,-8.39130434782609
2015-01-24,67,18.4583333333333
2015-01-25,44,10.4583333333333
2015-01-26,73,15.75
2015-01-27,54,10.125
2015-01-28,34,12.3636363636364
2015-01-29,47,6.29166666666667
2015-01-30,63,18.9166666666667
2015-01-31,60,20.25
2015-02-01,124,45.9166666666667
2015-02-02,96,23.4583333333333
2015-02-03,91,23.25
2015-02-04,73,9.73684210526316
2015-02-05,67,15
2015-02-06,44,0.5
2015-02-07,111,33.2083333333333
2015-02-08,103,20.5416666666667
2015-02-09,70,13.9583333333333
2015-02-10,48,11.0454545454545
2015-02-11,128,35.9
2015-02-12,46,11.4583333333333
2015-02-13,86,4.625
2015-02-14,50,9.70833333333333
2015-02-15,117,40.9166666666667
2015-02-16,67,-1.57894736842105
2015-02-17,45,3.15
2015-02-18,91,33.25
2015-02-19,111,47.4782608695652
2015-02-20,101,25.875
2015-02-21,143,64.2083333333333
2015-02-22,99,31.5416666666667
2015-02-23,29,8
2015-02-24,27,1.66666666666667
2015-02-25,70,5.55
2015-02-26,51,1.125
2015-02-27,20,-12.125
2015-02-28,61,17.7916666666667
2015-03-01,95,22.25
2015-03-02,58,-2.33333333333333
2015-03-03,130,50.2083333333333
2015-03-04,63,10.304347826087
2015-03-05,22,-4.52173913043478
2015-03-06,38,7.70833333333333
2015-03-07,68,20.5833333333333
2015-03-08,56,16.4166666666667
2015-03-09,34,-5.41666666666667
2015-03-10,47,12.2083333333333
2015-03-11,59,10.3636363636364
2015-03-12,27,-12.5416666666667
2015-03-13,26,-5.20833333333333
2015-03-14,77,19.3333333333333
2015-03-15,114,19.4583333333333
2015-03-16,114,7.16666666666667
2015-03-17,89,19
2015-03-18,70,10.7916666666667
2015-03-19,150,30.5909090909091
2015-03-20,97,19.875
2015-03-21,139,26.7083333333333
2015-03-22,72,27.8333333333333
2015-03-23,74,14.875
2015-03-24,81,25.9583333333333
2015-03-25,69,22.6666666666667
2015-03-26,42,0.333333333333333
2015-03-27,59,-23.875
2015-03-28,95,-7.29166666666667
2015-03-29,60,3.875
2015-03-30,71,-0.25
2015-03-31,57,9.54166666666667
2015-04-01,87,15.3333333333333
2015-04-02,38,6.1
2015-04-03,44,3.20833333333333
2015-04-04,95,28.5833333333333
2015-04-05,39,2.04166666666667
2015-04-06,77,13.7083333333333
2015-04-07,43,14.5416666666667
2015-04-08,42,6.09090909090909
2015-04-09,41,13.5833333333333
2015-04-10,53,-9.05
2015-04-11,63,21.9583333333333
2015-04-12,122,20.1666666666667
2015-04-13,81,11.2083333333333
2015-04-14,85,19.9565217391304
2015-04-15,87,26.9166666666667
2015-04-16,108,26.7826086956522
2015-04-17,104,21.0416666666667
2015-04-18,53,4.79166666666667
2015-04-19,40,12.0833333333333
2015-04-20,73,10.4166666666667
2015-04-21,58,-8.83333333333333
2015-04-22,27,3
2015-04-23,80,21.875
2015-04-24,105,8.875
2015-04-25,84,9.75
2015-04-26,58,28.75
2015-04-27,108,17.3333333333333
2015-04-28,96,20.0833333333333
2015-04-29,65,18.7777777777778
2015-04-30,91,20.695652173913
2015-05-01,65,25.2083333333333
2015-05-02,84,16
2015-05-03,65,21.125
2015-05-04,82,18.1739130434783
2015-05-05,70,18
2015-05-06,68,8.56521739130435
2015-05-07,51,14.375
2015-05-08,71,11.375
2015-05-09,70,12.75
2015-05-10,57,16.0833333333333
2015-05-11,65,1.125
2015-05-12,24,-17.35
2015-05-13,89,14.3333333333333
2015-05-14,134,21.2173913043478
2015-05-15,87,16.875
2015-05-16,130,7.33333333333333
2015-05-17,91,7.91666666666667
2015-05-18,63,6.375
2015-05-19,33,9.75
2015-05-20,63,8
2015-05-21,31,-4.08333333333333
2015-05-22,18,-6.95833333333333
2015-05-23,53,2.66666666666667
2015-05-24,54,1
2015-05-25,79,23.9583333333333
2015-05-26,53,5.27272727272727
2015-05-27,67,26.047619047619
2015-05-28,40,8.05555555555556
2015-05-29,96,35.7391304347826
2015-05-30,127,31.2916666666667
2015-05-31,62,18.125
2015-06-01,41,15.9583333333333
2015-06-02,76,16.625
2015-06-03,80,27.7727272727273
2015-06-04,71,12.5416666666667
2015-06-05,87,4.47826086956522
2015-06-06,63,20.0833333333333
2015-06-07,59,20.2083333333333
2015-06-08,53,17.2916666666667
2015-06-09,103,20.5833333333333
2015-06-10,28,1.70833333333333
