"date","no2Max","no2RatioMax"
2015-01-01,60,-0.410216718266254
2015-01-02,80,-0.0577200577200578
2015-01-03,63,-0.198113207547169
2015-01-04,49,-1.07711796092281
2015-01-05,56,-0.43138203515562
2015-01-06,60,4.32841261162748
2015-01-07,37,0.74714153651535
2015-01-08,32,8.93360676749551
2015-01-09,46,0.544268605645851
2015-01-10,87,-0.90077661966074
2015-01-11,89,-1.14997350291468
2015-01-12,66,0.180416885619198
2015-01-13,86,0.323794702407419
2015-01-14,84,1.42094017094017
2015-01-15,33,0.779094076655053
2015-01-16,105,0.492138165402855
2015-01-17,89,1.6497005988024
2015-01-18,77,0.522153642676072
2015-01-19,63,2.64427480916031
2015-01-20,81,6.20454545454545
2015-01-21,132,1.09047598315742
2015-01-22,54,0.195754716981132
2015-01-23,45,-0.355129931667415
2015-01-24,67,-1.14876215738285
2015-01-25,44,4.40595028381288
2015-01-26,73,-0.956823702997153
2015-01-27,54,-0.278827580414883
2015-01-28,34,-1.6511275284705
2015-01-29,47,-0.23582679819338
2015-01-30,63,0.305555555555556
2015-01-31,60,-0.594638694638695
2015-02-01,124,-1.71019573473561
2015-02-02,96,-0.761148681760266
2015-02-03,91,-0.764445899492552
2015-02-04,73,1.80672430355428
2015-02-05,67,3.81461131461132
2015-02-06,44,11.7661063415338
2015-02-07,111,0.914687774846086
2015-02-08,103,7.59398496240602
2015-02-09,70,1.21564911330716
2015-02-10,48,0.776287932251235
2015-02-11,128,1.35158817086528
2015-02-12,46,2.88415561834384
2015-02-13,86,1.65770265078755
2015-02-14,50,3.91295862607338
2015-02-15,117,7.50899702706932
2015-02-16,67,0.772241818894845
2015-02-17,45,2.4913717693837
2015-02-18,91,6.95292066259808
2015-02-19,111,5.08771929824561
2015-02-20,101,-0.984543010752688
2015-02-21,143,1.63150492264416
2015-02-22,99,1.29381786286786
2015-02-23,29,1.27814972611077
2015-02-24,27,1.82591093117409
2015-02-25,70,4.10274210343631
2015-02-26,51,3.50323624595469
2015-02-27,20,2.83478697821327
2015-02-28,61,0.838768115942029
2015-03-01,95,5.72649572649573
2015-03-02,58,1.33085896076352
2015-03-03,130,2.72450532724505
2015-03-04,63,2.01514080358195
2015-03-05,22,1.10129800615549
2015-03-06,38,2.04106877783276
2015-03-07,68,4.8868778280543
2015-03-08,56,6.27155172413793
2015-03-09,34,2.33148730230005
2015-03-10,47,7.06451612903226
2015-03-11,59,10.7142857142857
2015-03-12,27,12.4248475930208
2015-03-13,26,5.88068181818182
2015-03-14,77,3.46560846560847
2015-03-15,114,7.54942528735632
2015-03-16,114,4.78109259976753
2015-03-17,89,2.03842940685046
2015-03-18,70,7.92749297752809
2015-03-19,150,3.57165705511941
2015-03-20,97,2.82462795447914
2015-03-21,139,5.50952570896727
2015-03-22,72,6.45977011494253
2015-03-23,74,8.80952380952381
2015-03-24,81,8.13377679231338
2015-03-25,69,9.5224171539961
2015-03-26,42,10.6332320162107
2015-03-27,59,7.10283204603968
2015-03-28,95,6.63884224044256
2015-03-29,60,16.8137254901961
2015-03-30,71,11.2280469215985
2015-03-31,57,11.3003663003663
2015-04-01,87,10.8297872340426
2015-04-02,38,9.49874686716792
2015-04-03,44,19.8252243741143
2015-04-04,95,17.0899470899471
2015-04-05,39,9.24336283185841
2015-04-06,77,19.2481203007519
2015-04-07,43,8.05731364275668
2015-04-08,42,14.031746031746
2015-04-09,41,13.4782608695652
2015-04-10,53,17.4358974358974
2015-04-11,63,7.72281639928699
2015-04-12,122,8.12120574095519
2015-04-13,81,1.32198142414861
2015-04-14,85,5.05791788856305
2015-04-15,87,1.46198830409357
2015-04-16,108,0.934441118100172
2015-04-17,104,0.428921568627451
2015-04-18,53,2.4095598798485
2015-04-19,40,2.50528541226216
2015-04-20,73,10.767094017094
2015-04-21,58,13.6798147108366
2015-04-22,27,1.02495543672014
2015-04-23,80,0.328408530670017
2015-04-24,105,3.14102564102564
2015-04-25,84,4.27415921668795
2015-04-26,58,5.03588860178007
2015-04-27,108,0.160734787600459
2015-04-28,96,3.23502197547999
2015-04-29,65,2.12981744421907
2015-04-30,91,4.95848918894261
2015-05-01,65,1.16646250170137
2015-05-02,84,1.38736263736264
2015-05-03,65,0.980980980980981
2015-05-04,82,5.24901185770751
2015-05-05,70,3.32244008714597
2015-05-06,68,5.45319022063208
2015-05-07,51,4.39280898876405
2015-05-08,71,19.5535213898748
2015-05-09,70,10.1190476190476
2015-05-10,57,5.06207233626588
2015-05-11,65,7.17647058823529
2015-05-12,24,12.5974025974026
2015-05-13,89,7.8623670212766
2015-05-14,134,6.28269617706237
2015-05-15,87,7.67105263157895
2015-05-16,130,10.5666666666667
2015-05-17,91,2.70643594414086
2015-05-18,63,5.7177033492823
2015-05-19,33,2.125
2015-05-20,63,7.55244755244755
2015-05-21,31,3.10150044130627
2015-05-22,18,5.16339869281046
2015-05-23,53,4.08749715672151
2015-05-24,54,2.71349998353259
2015-05-25,79,2.17596763232342
2015-05-26,53,10.4545454545455
2015-05-27,67,5.64928029716762
2015-05-28,40,5.22875816993464
2015-05-29,96,2.03902827558742
2015-05-30,127,4.81247746123332
2015-05-31,62,4.47270007479432
2015-06-01,41,1.74242424242424
2015-06-02,76,2.86349206349206
2015-06-03,80,3.41911764705882
2015-06-04,71,1.71005917159763
2015-06-05,87,3.00607287449393
2015-06-06,63,1.89744022978795
2015-06-07,59,1.26543209876543
2015-06-08,53,3.53676470588235
2015-06-09,103,2.23619846261356
2015-06-10,28,2.3888771855909
2015-06-11,65,2.84843667196608
2015-06-12,53,8.6578947368421
2015-06-13,74,2.15946843853821
2015-06-14,78,1.35024788568096
2015-06-15,45,1.74264705882353
2015-06-16,70,4.61316278110171
2015-06-17,22,4.16008128245654
2015-06-18,63,6.02150537634409
2015-06-19,64,8.5685618729097
2015-06-20,78,5.51341926645495
2015-06-21,27,5.43513957307061
2015-06-22,81,5.32091097308489
2015-06-23,56,5.91397849462366
2015-06-24,82,7.93403120679439
2015-06-25,28,12.9415954415954
2015-06-26,39,2.47619047619048
2015-06-27,47,4.35294117647059
2015-06-28,89,4.36969696969697
2015-06-29,90,10.156862745098
2015-06-30,78,16.4469696969697
2015-07-01,206,10.241935483871
2015-07-02,93,11.9512195121951
2015-07-03,54,4.90573770491803
2015-07-04,77,4.61358635863586
2015-07-05,65,8.8917109212653
2015-07-06,104,3.75862068965517
2015-07-07,71,7.35714285714286
2015-07-08,62,13.827980804725
2015-07-09,67,12.4078374455733
2015-07-10,69,2.11734693877551
2015-07-11,164,3.37304082817337
