"date","date2","max.hour","max2.hour","max3.hour","max.NO2","max2.NO2","max3.NO2","max.NOx","max2.NOx","max3.NOx","max.CO","max2.CO","max3.CO","meanNO2","aqhi_daymax","ws_SF","ws_KP","wd_wgl","UV_Max"
2015-01-01,2015-01-01,7,8,9,60,60,24,241,284,155,-170,-60,100,-116.95652173913,8,11.2,7.2,80,5
2015-01-02,2015-01-02,20,19,22,80,68,59,281,355,189,120,150,-60,-181.5,8,16.7,8.7,70,4
2015-01-03,2015-01-03,13,12,14,63,48,35,216,184,178,10,-10,-280,-209.583333333333,7,17.7,9,70,5
2015-01-04,2015-01-04,8,10,13,49,32,29,182,126,129,-30,-140,-90,-78.2608695652174,6,16.4,9.1,50,5
2015-01-05,2015-01-05,19,20,7,56,38,14,207,148,93,-490,-560,-310,-395.625,6,16.3,10.6,40,4
2015-01-06,2015-01-06,9,17,20,60,59,54,251,102,161,-210,-170,NA,-136.363636363636,8,6.1,2.3,40,5
2015-01-07,2015-01-07,14,22,21,37,36,31,123,63,38,-360,-100,30,-136.25,7,6,5.5,20,2
2015-01-08,2015-01-08,12,19,20,32,23,19,117,77,52,-250,-530,-390,-338.260869565217,7,10.3,7.1,20,5
2015-01-09,2015-01-09,4,22,2,46,45,34,79,105,59,-330,-230,-350,-342.727272727273,7,12.6,6.5,60,5
2015-01-10,2015-01-10,22,16,23,87,86,84,269,273,224,100,-340,250,-179.166666666667,8,15.5,8.3,60,5
2015-01-11,2015-01-11,0,16,17,89,66,59,188,185,157,330,120,10,-9.1304347826087,7,12.2,5.8,50,5
2015-01-12,2015-01-12,0,2,1,66,50,39,115,78,53,-30,-110,-110,-213.478260869565,6,8.8,10.9,20,1
2015-01-13,2015-01-13,10,8,7,86,61,55,461,265,124,60,-290,-370,-121.25,6,7.4,5.7,10,2
2015-01-14,2015-01-14,14,12,23,84,61,57,364,203,111,210,310,50,-106.190476190476,8,5.8,9.9,20,6
2015-01-15,2015-01-15,7,12,23,33,31,30,15,118,102,-410,0,20,-184.166666666667,8,8.2,4.8,30,6
2015-01-16,2015-01-16,17,14,13,105,98,94,319,292,319,210,-110,230,-7.82608695652174,11,7.8,3.9,50,5
2015-01-17,2015-01-17,14,15,11,89,86,79,323,293,204,-30,-180,-70,-85.8333333333333,8,14.4,10.6,80,5
2015-01-18,2015-01-18,22,8,1,77,70,61,244,170,107,120,-210,260,-3.47826086956522,9,13.5,8.6,70,5
2015-01-19,2015-01-19,12,11,7,63,56,50,180,170,163,80,-30,-180,-85.4166666666667,8,10.7,7.9,20,6
2015-01-20,2015-01-20,9,12,7,81,64,55,256,148,139,-260,-200,-190,-203.333333333333,7,15.9,7.7,70,6
2015-01-21,2015-01-21,23,22,21,132,117,97,132,-2,-138,-190,-220,500,-30,11,5.7,1.6,30,3
2015-01-22,2015-01-22,7,6,4,54,47,43,345,260,117,-30,90,140,-163.04347826087,11,11.1,8.9,40,5
2015-01-23,2015-01-23,16,21,20,45,44,27,104,95,60,NA,-360,-430,-366.363636363636,8,15.9,8.3,50,5
2015-01-24,2015-01-24,13,15,12,67,63,60,195,226,175,-130,-190,-340,-338.333333333333,8,23.3,12.1,50,5
2015-01-25,2015-01-25,20,14,18,44,42,40,136,87,88,-100,-220,-330,-244.166666666667,6,19.5,11.2,40,5
2015-01-26,2015-01-26,22,16,21,73,38,36,182,84,85,-170,-540,-320,-402.083333333333,6,16,9.5,40,6
2015-01-27,2015-01-27,9,23,22,54,52,50,157,121,115,-510,-260,-300,-411.25,6,18,10.2,60,4
