"date","variable","value"
1999,"jan",158
2000,"jan",144
2001,"jan",110
2002,"jan",128
2003,"jan",228
2004,"jan",218
2005,"jan",350
2006,"jan",230
2007,"jan",148
2008,"jan",107
2009,"jan",110
2010,"jan",191
2011,"jan",272
2012,"jan",193
2013,"jan",214
2014,"jan",148
2015,"jan",127
2016,"jan",38
1999,"feb",86
2000,"feb",96
2001,"feb",79
2002,"feb",102
2003,"feb",136
2004,"feb",168
2005,"feb",94
2006,"feb",173
2007,"feb",90
2008,"feb",168
2009,"feb",130
2010,"feb",89
2011,"feb",190
2012,"feb",93
2013,"feb",95
2014,"feb",49
2015,"feb",162
2016,"feb",78
1999,"mar",81
2000,"mar",129
2001,"mar",81
2002,"mar",80
2003,"mar",156
2004,"mar",98
2005,"mar",108
2006,"mar",138
2007,"mar",68
2008,"mar",173
2009,"mar",112
2010,"mar",176
2011,"mar",207
2012,"mar",54
2013,"mar",102
2014,"mar",124
2015,"mar",121
2016,"mar",90
1999,"apr",36
2000,"apr",59
2001,"apr",88
2002,"apr",41
2003,"apr",97
2004,"apr",180
2005,"apr",237
2006,"apr",132
2007,"apr",115
2008,"apr",123
2009,"apr",165
2010,"apr",109
2011,"apr",159
2012,"apr",83
2013,"apr",112
2014,"apr",111
2015,"apr",15
2016,"apr",84
1999,"may",47
2000,"may",38
2001,"may",75
2002,"may",46
2003,"may",94
2004,"may",77
2005,"may",26
2006,"may",30
2007,"may",130
2008,"may",54
2009,"may",39
2010,"may",113
2011,"may",101
2012,"may",14
2013,"may",54
2014,"may",4
2015,"may",7
2016,"may",35
1999,"jun",27
2000,"jun",0
2001,"jun",13
2002,"jun",10
2003,"jun",26
2004,"jun",61
2005,"jun",14
2006,"jun",1
2007,"jun",16
2008,"jun",2
2009,"jun",9
2010,"jun",20
2011,"jun",26
2012,"jun",22
2013,"jun",1
2014,"jun",17
2015,"jun",0
2016,"jun",0
1999,"jul",2
2000,"jul",14
2001,"jul",8
2002,"jul",34
2003,"jul",0
2004,"jul",27
2005,"jul",23
2006,"jul",31
2007,"jul",1
2008,"jul",31
2009,"jul",9
2010,"jul",0
2011,"jul",36
2012,"jul",10
2013,"jul",0
2014,"jul",19
2015,"jul",6
2016,"jul",10
1999,"aug",55
2000,"aug",5
2001,"aug",31
2002,"aug",63
2003,"aug",7
2004,"aug",129
2005,"aug",68
2006,"aug",62
2007,"aug",62
2008,"aug",1
2009,"aug",82
2010,"aug",51
2011,"aug",50
2012,"aug",144
2013,"aug",38
2014,"aug",0
2015,"aug",48
2016,"aug",25
1999,"sep",44
2000,"sep",8
2001,"sep",104
2002,"sep",102
2003,"sep",21
2004,"sep",138
2005,"sep",163
2006,"sep",41
2007,"sep",152
2008,"sep",127
2009,"sep",20
2010,"sep",58
2011,"sep",66
2012,"sep",35
2013,"sep",18
2014,"sep",27
2015,"sep",37
2016,"sep",NA
1999,"oct",69
2000,"oct",18
2001,"oct",79
2002,"oct",61
2003,"oct",114
2004,"oct",223
2005,"oct",160
2006,"oct",250
2007,"oct",173
2008,"oct",154
2009,"oct",184
2010,"oct",58
2011,"oct",72
2012,"oct",91
2013,"oct",76
2014,"oct",63
2015,"oct",60
2016,"oct",NA
1999,"nov",105
2000,"nov",23
2001,"nov",41
2002,"nov",43
2003,"nov",109
2004,"nov",102
2005,"nov",172
2006,"nov",90
2007,"nov",38
2008,"nov",58
2009,"nov",84
2010,"nov",191
2011,"nov",75
2012,"nov",63
2013,"nov",53
2014,"nov",34
2015,"nov",13
2016,"nov",NA
1999,"dec",40
2000,"dec",89
2001,"dec",18
2002,"dec",118
2003,"dec",129
2004,"dec",149
2005,"dec",87
2006,"dec",79
2007,"dec",305
2008,"dec",102
2009,"dec",195
2010,"dec",169
2011,"dec",145
2012,"dec",85
2013,"dec",215
2014,"dec",26
2015,"dec",71
2016,"dec",NA
