date,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1999,158,86,81,36,47,27,2,55,44,69,105,40
2000,144,96,129,59,38,0,14,5,8,18,23,89
2001,110,79,81,88,75,13,8,31,104,79,41,18
2002,128,102,80,41,46,10,34,63,102,61,43,118
2003,228,136,156,97,94,26,0,7,21,114,109,129
2004,218,168,98,180,77,61,27,129,138,223,102,149
2005,350,94,108,237,26,14,23,68,163,160,172,87
2006,230,173,138,132,30,1,31,62,41,250,90,79
2007,148,90,68,115,130,16,1,62,152,173,38,305
2008,107,168,173,123,54,2,31,1,127,154,58,102
2009,110,130,112,165,39,9,9,82,20,184,84,195
2010,191,89,176,109,113,20,0,51,58,58,191,169
2011,272,190,207,159,101,26,36,50,66,72,75,145
2012,193,93,54,83,14,22,10,144,35,91,63,85
2013,214,95,102,112,54,1,0,38,18,76,53,215
2014,148,49,124,111,4,17,19,0,27,63,34,26
2015,127,162,121,15,7,0,6,48,37,60,13,71
2016,38,78,90,84,35,0,10,25,,,,
